project name,project url,category,commits
think,https://github.com/dungenessbin/think,[],51
symon,https://github.com/sethm/symon,"[1, 2, 3, 4, 6]",45
oo-inheritance-code-along-wdf-000,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,"[1, 2, 3]",14
prerender,https://github.com/microlv/prerender,"[1, 3, 5, 6]",58
vlayout,https://github.com/565407548/vlayout,"[1, 2, 3, 5, 6]",15
corert,https://github.com/shrah/corert,"[1, 5, 6, 7]",15
domoraen,https://github.com/udzura/domoraen,[],6
hello-world-ruby-ruby-intro-000,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,"[1, 3, 8]",45
chef-xdebug,https://github.com/gevans/chef-xdebug,"[1, 3, 4, 5]",1
lastpass-cli,https://github.com/h3biomed/lastpass-cli,"[1, 3, 6]",20
weapp-ide-crack,https://github.com/guoyalun/weapp-ide-crack,[],30
TuentiTV,https://github.com/anirut/TuentiTV,"[3, 5, 6]",13
rails,https://github.com/sineed/rails,"[1, 3, 4, 5, 6, 7]",26
apache2-chef-cookbook,https://github.com/samuelbohler/apache2-chef-cookbook,"[3, 4, 5, 6, 7]",72
vue-resource,https://github.com/venturion/vue-resource,"[1, 4, 5, 6, 7]",63
quickdic-dictionary.actionbarsherlock,https://github.com/vocotnhan/quickdic-dictionary.actionbarsherlock,"[1, 2, 5, 6]",1
Kotlin-CN,https://github.com/Kotlin-lang-CN/Kotlin-CN,[],23
go-bootstrap,https://github.com/kraziegent/go-bootstrap,"[1, 3]",16
map-journal-storytelling-template-js,https://github.com/owap/map-journal-storytelling-template-js,"[1, 3, 5, 6, 7]",79
tensorlayer,https://github.com/Paseam/tensorlayer,[3],91
ruru,https://github.com/tinco/ruru,"[1, 2, 3, 6, 7]",52
developer-exercise,https://github.com/abparker/developer-exercise,"[1, 3]",1
fog,https://github.com/voxik/fog,"[3, 6, 7]",37
SDAutoLayout,https://github.com/jiang12306/SDAutoLayout,[],92
PHP-Classes-e-Utilidades,https://github.com/KelvynCarbone/PHP-Classes-e-Utilidades,[],9
factory_girl_rails,https://github.com/brendanwb/factory_girl_rails,"[1, 3, 5, 7]",18
grunt-dss,https://github.com/sebald/grunt-dss,"[1, 3, 6]",10
android-fragment-swapper,https://github.com/aborunski/android-fragment-swapper,"[1, 3, 5]",1
iCreator,https://github.com/anyexxx/iCreator,"[1, 3]",8
delta,https://github.com/cwohlman/delta,"[3, 6, 8]",39
WPD-.NET-Wrapper,https://github.com/adamswann/WPD-.NET-Wrapper,[1],3
restaurante,https://github.com/edsonmgoz/restaurante,"[1, 2, 5, 6, 7]",1
huginn,https://github.com/scollison/huginn,"[1, 3, 5]",67
spring-best-practices,https://github.com/g3collector/spring-best-practices,"[3, 6]",8
angular-cli,https://github.com/dondre/angular-cli,"[1, 3, 4, 5, 6, 7]",101
EmlakProjesi,https://github.com/mesutozturk/EmlakProjesi,[],3
CNTK,https://github.com/BrunoBozza/CNTK,"[1, 5, 8]",18
cassle,https://github.com/pombredanne/cassle,"[1, 2, 3, 4]",10
amazon-autocomplete,https://github.com/blairanderson/amazon-autocomplete,"[1, 3, 5]",5
