section-id,file-id,url,heading,Codes with >= 2 votes
,2,https://github.com/dungenessbin/think,,-
19,3,https://github.com/sethm/symon,# SYMON - A 6502 System Simulator,14
20,3,https://github.com/sethm/symon,## 1.0 About,1246
21,3,https://github.com/sethm/symon,## 2.0 Requirements,3
45,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,# Code Along: An Intro to Inheritance,1
46,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## Objectives,12
48,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## What is Inheritance?,1
49,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## Code Along: Basic Inheritance,3
50,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 1: Defining the Super Class,3
51,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 2: Defining the Subclass,3
52,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 3: Overwriting Inherited Methods,3
53,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,#### Method Look-Up in Ruby,3
,5,https://github.com/microlv/prerender,,-
92,6,https://github.com/565407548/vlayout,# vlayout,12
93,6,https://github.com/565407548/vlayout,## Design,12
94,6,https://github.com/565407548/vlayout,## Main Feature,1
95,6,https://github.com/565407548/vlayout,## Usage,3
97,6,https://github.com/565407548/vlayout,### Initialize LayoutManager,3
99,6,https://github.com/565407548/vlayout,### Set Adapters,3
100,6,https://github.com/565407548/vlayout,# Demo,3
101,6,https://github.com/565407548/vlayout,# Layout Attributes,6
103,6,https://github.com/565407548/vlayout,# LICENSE,5
104,7,https://github.com/shrah/corert,# .NET Core Runtime (CoreRT),1
110,8,https://github.com/udzura/domoraen,# domoraen,-
111,8,https://github.com/udzura/domoraen,## 機能,-
112,8,https://github.com/udzura/domoraen,### 道具提案機能,-
113,8,https://github.com/udzura/domoraen,### 遅延エコー機能,-
,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,,-
125,10,https://github.com/gevans/chef-xdebug,# Description,1
126,10,https://github.com/gevans/chef-xdebug,# Requirements,3
127,10,https://github.com/gevans/chef-xdebug,## Cookbooks:,3
128,10,https://github.com/gevans/chef-xdebug,# Attributes,3
129,10,https://github.com/gevans/chef-xdebug,# Usage,3
130,10,https://github.com/gevans/chef-xdebug,# TODO,4
131,10,https://github.com/gevans/chef-xdebug,# ISSUES,3
132,10,https://github.com/gevans/chef-xdebug,## Development,3
133,10,https://github.com/gevans/chef-xdebug,# LICENSE & AUTHOR:,5
134,11,https://github.com/h3biomed/lastpass-cli,# LastPass CLI,1
136,11,https://github.com/h3biomed/lastpass-cli,## Operating System Support,3
137,11,https://github.com/h3biomed/lastpass-cli,## Dependencies,3
145,11,https://github.com/h3biomed/lastpass-cli,## Building,3
146,11,https://github.com/h3biomed/lastpass-cli,## Installing,3
147,11,https://github.com/h3biomed/lastpass-cli,## Running,3
148,11,https://github.com/h3biomed/lastpass-cli,## Documentation,36
,12,https://github.com/guoyalun/weapp-ide-crack,,-
157,13,https://github.com/anirut/TuentiTV,## Implementation description,6
159,13,https://github.com/anirut/TuentiTV,## Screenshots,3
160,13,https://github.com/anirut/TuentiTV,## Libraries used on the sample project,6
161,13,https://github.com/anirut/TuentiTV,## Developed By,5
162,13,https://github.com/anirut/TuentiTV,## License,5
163,14,https://github.com/sineed/rails,# Welcome to Rails,1
