name,language,commits,files,loc
aasm/aasm,Ruby,1366,237,11594
ActsAsParanoid/acts_as_paranoid,Ruby,591,18,1824
anutron/mootools-core,JavaScript,3471,65,24487
beastaugh/tarski-utilities,Ruby,123,5,232
bostonrb/bostonrb,Ruby,923,156,3351
bruce/keyword_search,Ruby,56,6,2600
chuyeow/facon,Ruby,67,16,729
ci-reporter/ci_reporter,Ruby,351,12,484
collectiveidea/acts_as_geocodable,Ruby,199,23,964
collectiveidea/audited,Ruby,725,57,2818
cristibalan/braid,Ruby,566,37,4674
defunkt/facebox,JavaScript,90,4,490
defunkt/github-gem,Ruby,420,37,3825
delynn/userstamp,HTML,37,23,744
ebassi/json-glib,C,1003,56,13697
gregwebs/jquery-uitablefilter,JavaScript,70,3,210
haml/haml,Ruby,5336,124,8317
IoLanguage/io,C,2635,266,46287
JackDanger/permanent_records,Ruby,296,30,1068
jashkenas/ruby-processing,Ruby,1234,73,4038
jeremy/rails,Ruby,76097,3330,298094
joseph/castanaut,Ruby,76,24,1779
jmettraux/ruote,Ruby,2411,319,28309
josh/rails,Ruby,49242,2273,191868
lsegal/yard,Ruby,3814,508,33019
markbates/cachetastic,Ruby,73,27,1226
markbates/configatron,Ruby,311,32,815
mattfoster/gnuplot-tmbundle,Ruby,86,5,244
minimagick/minimagick,Ruby,721,34,1913
mloughran/api_cache,Ruby,97,21,676
mojombo/chronic,Ruby,630,66,5152
phloe/amoeba,JavaScript,117,27,410
Pistos/ramaze,Ruby,3275,429,20726
programming-nu/nu,Objective-C,839,112,12808
rails/rails,Ruby,77910,3361,304124
rramona2/JavaScript-Templates,JavaScript,74,10,9294
rsl/stringex,Ruby,637,55,4094
rtomayko/date-performance,Ruby,36,17,2543
ruby-git/ruby-git,Ruby,405,73,4661
scivi/dotfiles,Shell,69,34,1348
seven1m/onebody,Ruby,5202,882,75149
sferik/twitter,Ruby,2659,166,10976
sprinkle-tool/sprinkle,Ruby,709,142,6154
thoughtbot/paperclip,Ruby,1972,149,13269
topfunky/gruff,Ruby,619,81,6109
toretore/barby,Ruby,319,56,5414
tra/spawnling,Ruby,260,14,536
trevorturk/eldorado,Ruby,973,364,18799
twpayne/igc2kmz,Python,461,26,4676
yu5y/geonotebook,Python,616,91,12558
