name,language,commits,files,loc
sethm/symon,Java,258,87,28154
lastromanticx/oo-inheritance-code-along-wdf-000,Ruby,22,5,91
microlv/prerender,JavaScript,375,14,622
565407548/vlayout,Java,81,48,10023
shrah/corert,C#,6117,2887,477868
LoMicah03/hello-world-ruby-ruby-intro-000,Ruby,68,2,7
gevans/chef-xdebug,Ruby,11,6,760
h3biomed/lastpass-cli,C,67,51,5379
anirut/TuentiTV,Java,177,53,2382
sineed/rails,Ruby,59149,2538,219461
ggailey777/app-service-mobile-xamarin-android-quickstart-old,not found
samuelbohler/apache2-chef-cookbook,Ruby,892,287,5608
venturion/vue-resource,JavaScript,397,39,4469
vocotnhan/quickdic-dictionary.actionbarsherlock,Java,2,166,26792
praveenjk/node,not found
SharedVue/bootstrap,not found
hyndex/animate.css,not found
kraziegent/go-bootstrap,Go,79,30,1361
owap/map-journal-storytelling-template-js,JavaScript,121,527,55006
Paseam/tensorlayer,Python,335,57,7009
tinco/ruru,Rust,416,40,1580
abparker/developer-exercise,not found
voxik/fog,Ruby,12170,2101,68457
brendanwb/factory_girl_rails,Ruby,153,20,602
sebald/grunt-dss,CSS,40,12,691
aborunski/android-fragment-swapper,Java,1,20,1066
anyexxx/iCreator,JavaScript,18,1,203
cwohlman/delta,JavaScript,165,10,1303
xiky/Masonry,not found
adamswann/WPD-.NET-Wrapper,C#,16,20,844
edsonmgoz/restaurante,PHP,10,1576,205014
scollison/huginn,Ruby,2030,480,47045
g3collector/spring-best-practices,Java,37,53,5204
dondre/angular-cli,TypeScript,1003,319,16858
BrunoBozza/CNTK,C++,4438,496,122394
pombredanne/cassle,Python,44,32,1697
blairanderson/amazon-autocomplete,JavaScript,11,3,209
villanella/hikari-for-Jekyll,CSS,108,12,1000
RLC22/butter-desktop,JavaScript,5587,120,22346
kevinboudot/silex-cache-service-provider,PHP,57,24,932
IvyGongoogle/SeetaFaceLib,C++,31,103,10628
mcansh/simple-partials-reading-v-000,Ruby,52,46,337
kentmacdonald2/slack-history-export,JavaScript,69,5,466
Scott-O-Brian/docker-node,Shell,371,22,629
nilaydc/Exploratory-Data-Analysis,R,9,4,53
brismuth/fms-endpoint,PHP,118,491,68413
squareteam/yodatra,Ruby,71,21,780
elsdrium/neural_artistic_style,Python,16,3,261
Unicamp-OpenPower/alice,Python,89,10,640
lulupop/sweep,JavaScript,30,5,1250
solomance/sandstorm,not found
blair34854/AndroidN-ify,Java,1056,153,22328
BluesBaka/apples-and-holidays-v-000,Ruby,111,3,141
umbobabo/component-typography,CSS,171,9,840
Croydon/restart-my-fox,JavaScript,75,5,366
HPxpat/rdpy,Python,286,52,7856
xwipeoutx/EnumGenie,C#,25,42,922
kuyun-zhangyang/caffe,C++,3039,306,58914
ufirstgroup/jquery-handsontable,JavaScript,3045,245,93059
grandamp/locust-swarm,Python,5,2,21
wieweb/CountingView,Swift,7,5,174
yujmh/symphony,not found
mhm956/gala,Python,49,10,421
agomezf/ProgrammingAssignment2,R,8,1,24
k0mrade/buntdb-optimization,Go,12,1,173
UniversityProjects/FEM1,Matlab,48,56,1541
bestwpw/bigchaindb,not found
rramona2/JavaScript-Templates,JavaScript,74,10,9294
JWood02/javascript-logging-lab-bootcamp-prep-000,JavaScript,13,1,38
trentmwillis/ember.js,JavaScript,14244,795,79550
Songmu/p5-DBIx-FixtureLoader,Perl,64,2,206
CraigLiaoBJ/ADClusterMapView,Objective-C,47,20,987
Leelow/sinopia,JavaScript,649,73,21609
ganeshraju/bigtop,Java,1617,592,24485
wenjingjie/XXPagingScrollView,Swift,13,26,2085
jmilleralpine/ParallelGit,Java,557,241,15201
17352913480/1002,HTML,4,0,0
AzureByte/csharp_tutorials,C#,74,23,529
mmcgahan/io-slider,JavaScript,6,8,1030
darg0001/J2EEScan,Java,74,106,7077
gaborbernat/buildship,Java,924,239,14621
peppy6582/serviceLogs,JavaScript,4,121,5165
petrjanda/ICDM2015,Python,4,5,842
harrywithcode/elasticsearch-definitive-guide,HTML,2152,7,378
taf2/Recorderjs,JavaScript,69,5,715
pombredanne/pyqver,not found
alanwgeorge/Android-CleanArchitecture,Java,211,84,3055
trujunzhang/ruby2-rails4-bootstrap-heroku,Ruby,547,47,307
MrItty/GeoIP2-perl,Perl,361,38,1596
nmjesus/sharedb,JavaScript,676,36,6956
Robbe92/liferay-connector,JavaScript,125,16,6259
a3986/px-data-table,HTML,596,12,1866
Capri2014/tiny-dnn,C++,922,341,123226
carriercomm/rampant,Shell,3,2,90
medos1472/BMCustomTableView,Swift,15,21,509
ZahoreczTibor/handson-ml,Jupyter Notebook,114,21,8223
yu5y/geonotebook,Python,616,91,12558
ammarx/ARP-spoofing,Python,10,1,15
RodrigoCm95/ionic-native,TypeScript,1322,164,9440
tkylin/shadowsocks-windows,C#,1032,82,12766
lrmodesgh/iio-oscilloscope,C,1820,74,54037
voDox17/Viberr,HTML,2,21,531
ChadLactaoen/Blackjack,JavaScript,23,36,3495
imkernel/cockroach,not found
jrudel/SoccerApp,not found
oscarsale/oscarsale.github.io,CSS,338,5,381
emil10001/QuickGraphAndroid,Java,3,2,51
choreographing-quokka/Q,JavaScript,249,20,15686
kwangkim/jekyll-bootstrap,Ruby,195,9,1123
zawieja/java8collections,Java,19,1,44
Jaiimmortal/LCS,Python,18,2,78
Crysty-Yui/android-async-http,Java,777,75,6775
paige11/cartoon-collections-001-prework-web,Ruby,73,3,86
iL-Mattone/konstantin-fluentd,Ruby,46,19,387
neumanta/frontend-nanodegree-feedreader,JavaScript,6,10,3288
kunickiaj/docker-vault,not found
randhika/LOST,Java,166,27,2079
dhaval2025/RoaringBitmap,Java,484,51,13421
dluxemburg/node-google-spreadsheets,JavaScript,12,3,285
soeaver/NormFace,not found
mroth/extwitter,Elixir,162,31,1234
arodrime/homebrew,Ruby,29607,2964,88924
tylabs/quicksand_lite,C,32,12,4087
EmanueleMinotto/installer,PHP,35,6,661
manekinekko/gaia,JavaScript,42081,4828,756309
Koulio/jison,JavaScript,625,66,20626
DimGreyWolf/448Hmwk5,Python,54,225,31486
pivotal-mikegresham/github-changelog-generator,Ruby,1402,26,2424
vpothuri/phpiredis,C,144,34,1632
valley51/jfortune,JavaScript,49,11,419
maxamillion32/mobile-first-dashboard,JavaScript,29,7,814
Cedriking/microjs.com,not found
shyamalschandra/synfig,C++,8168,1607,301752
nigredo-tori/patty,Nimrod,53,4,541
QuickQi1/ews-cpp,C++,408,35,19923
mdxprograms/visor,HTML,1,6,367
h0rn3t/instagram-scraper,not found
NunoEdgarGub1/jBloomberg,Java,105,71,5197
1406504841/glide,Java,1411,439,37513
IbpTeam/sqlite3,C,1,704,227947
Shamash2014/swirl_courses,R,752,338,4966
luoyiqi/Colorful-1,Java,51,13,638
MariyaS/movies,Python,9,3,97
haisonle/passwordless,JavaScript,131,39,4031
JoseEnrique04/r-graph-catalog,HTML,49,141,4403
MaxAdamyan/NightNight,Swift,158,55,1517
iamxufeng/SlidingTutorial-Android,Java,86,39,2263
ArmiT/yii2-eav,not found
serenabi/workflow-plugin,not found
duguruiyuan/date-time-picker,JavaScript,35,27,1936
sd6352051/NiftyNotification,Java,38,19,1016
itlackey/assemble-workshop,JavaScript,144,59,1599
EarLyMe/ruby-object-initialize-lab-v-000,Ruby,12,451,36621
sandriichenko/tcp-qa,Python,152,38,2581
nithiroj/Mining-the-Social-Web-2nd-Edition,HTML,331,135,4057
DavidRGriswold/jquery-colourpicker,not found
mucyomiller/xact,Python,15,2,69
josnthecaster/RepData_PeerAssessment1,HTML,15,1,89
HanWenfang/libgdx-demo-cuboc,Java,27,26,1657
bfrosik/scikit-beam,Python,1420,144,8627
murongruomeng/hacker-scripts,PHP,45,20,630
jwolfe890/skills-based-javascript-intro-to-flow-control-v-000,JavaScript,46,3,105
hughker/Apollo-11,Assembly,89,0,0
Kryndex/microservices-examples,JavaScript,31,49,4884
silverfern7/ExData_Plotting1,R,16,4,44
YangHaha11514/advanced-tensorflow,Jupyter Notebook,73,30,4812
spkane/Device42-AutoDiscovery-Scripts,Python,49,8,1491
AlluringJay/ripgrep,Rust,494,51,12169
dragon788/vimsert,JavaScript,21,8,21514
ozalpdemir/angular2-busy,TypeScript,47,73,7801
midumitrescu/tokens,Java,192,59,2195
AMorporkian/StarryPy3k,Python,294,42,4177
aceol/generator-gulp-angular,JavaScript,897,163,6583
aaronseib/smart-on-fhir.github.io,CSS,404,18,20569
gkarunakaran/kidsrubyinstaller-windows,Ruby,80,12,530
WaylandGod/cecil,C#,726,236,33927
houze2311/MMNumberKeyboard,Objective-C,33,8,736
funze/cleanflight,C,2182,444,110834
johnsonjr/vagrant-aws,Ruby,351,33,1548
memorywarning/YouCompleteMe,Python,1763,54,6896
bissal/reveal.js,JavaScript,1797,57,11358
fp7-netide/Engine,Java,990,406,32492
raphapassini/calendarjs,JavaScript,7,11,8139
zhongdaojin/node-tesseract,JavaScript,63,5,125
majestrate/go-multiaddr,Go,56,7,679
ttyouare/angular-strap,JavaScript,1009,166,49216
LookOut800/wdi_11_angular_token_auth_app,ApacheConf,7,19,658
rollbear/Catch,not found
crisamdegracia/js-basics-online-shopping-lab-js-intro-000,JavaScript,52,3,163
jakeheis/objc-TimesSquare,Objective-C,51,19,876
tfereyre/sonar-examples,Java,766,63,1259
magadan/eleVR-Picture-Player,not found
e0003083/website,HTML,823,9,1081
merlincharlotte/search-github-users,JavaScript,2,20,590
ovicko/yii2-shop,not found
mgechev/nshahpazov.github.io,CSS,9,38,5677
sdtm1016/debugger.html,JavaScript,749,267,33237
pat/drumknott,Ruby,31,15,401
jpbetz/prezto,Shell,1747,42,1905
hsugita/imas-producer_schedule,Ruby,20,9,239
divampo/PHPStaticHelpers,PHP,2,6,732
manuelgu/discord-api-docs,JavaScript,122,1,1
cloudfoundry/cf-mysql-release,Go,2407,1063,571189
D630/bds,Shell,15,3,629
babyformula/shadowsocks,Python,1,40,3773
imlucas/node-forro,JavaScript,46,2,431
boumer/neocities,HTML,1763,669,24641
att-bdpaas/webhdfs,Ruby,82,11,686
aforward-oss/chef-redis,Ruby,46,19,439
Apentz49/django-movies-api,Python,5,13,182
schmittjoh/jmsPaymentPlugin,PHP,48,79,2477
jmorcos22/odoo,Python,99673,2593,418725
henvic/pb,Go,167,20,959
fredericletellier/udacity-xyzreader,Java,24,15,1152
socialchorus/homebrew,Ruby,189,24,627
cambiata/android-midi-lib,Java,7,38,2788
connorworkman/LightWM,C++,32,8,1041
